text,label,google,our model,our=google,our currect
個就是掉落人孔蓋裡。,0,0,0,1,1
辦公室跟國家隊成立數量和速度,0,1,0,0,1
原來也有養國外的網軍,0,0,0,1,1
真的好衰?絕命終結站?..,0,0,0,1,1
笑死，有夠噁心的党,0,0,0,1,1
新北不意外 侯議員繼續跳針安居樂業,0,0,0,1,1
老師傅又調皮了,0,0,0,1,1
難怪工人被人瞧不起 一堆智能不足的都能做,0,0,0,1,1
一些噁心的媒體,0,0,0,1,1
噓自由，垃圾糞報,0,0,0,1,1
根本就一群求偶焦慮無能男上街怨天尤人,0,0,0,1,1
綠共,0,0,0,1,1
厲害了 我的黨,0,1,0,0,1
黑道權貴詐騙集團越來越開心 外役監,0,0,0,1,1
又是党媒一條龍,0,0,0,1,1
詐騙 浮屍 光電百分比 物價,0,0,0,1,1
股市 房市,0,0,0,1,1
幹你媽 民進黨無恥之事又一件 台灣之恥,0,0,0,1,1
猴猴出歹事,0,0,0,1,1
太可怕了?但騎樓被堵住只能走人行道,0,0,0,1,1
台灣工安...,0,0,0,1,1
詐騙。房價,0,0,0,1,1
17樓掉落的冷氣機?,0,0,0,1,1
江湖了，不愧是選舉大黨,0,1,0,0,1
還以為是老舊冷氣結果是正在施工,0,0,0,1,1
人的尿性,0,0,0,1,1
推文有影片 好可憐 那邊還很多人在等公車,0,0,0,1,1
呢？可能又震怒一下然後草草結束,0,0,0,1,1
法官會不會說行人應注意未注意而不注意？,0,0,0,1,1
只要沾上不尊重女性、性騷、仇女 就會毀掉,0,0,0,1,1
林義雄、反核仔給我出來下跪道歉 賠償台,0,0,0,1,1
不就黨媒 有什麼奇怪,0,0,0,1,1
H,0,0,0,1,1
台灣公安地獄,0,0,0,1,1
詐騙集團民進黨,0,0,0,1,1
網軍 詐騙 外役監 黑道 綠媒蟑螂,0,0,0,1,1
高調!國民黨不好媒體不會好!!,0,0,0,1,1
徵信社去那邊搜集？在起訴一次？二次傷,0,0,0,1,1
幹你娘我不要出門了幹,0,0,0,1,1
都市長官派就好,0,1,0,0,1
阻止人類增殖的能力進步很多,0,0,0,1,1
